Date,prcp,tavg,tmax,tmin,wdspavg,wdspmax,sunhour,snowf,snowdmax
2016/7/12,0,22.2,30.4,15.5,1,3.3,8.8,0,0
2016/7/13,19.5,21.4,23.3,19.4,0.6,1.7,0,0,0
2016/7/14,5.5,21.2,28,17.9,0.8,2.7,3.5,0,0
2016/7/15,39.5,20,26.3,17.6,0.6,2.7,1.9,0,0
2016/7/16,1,21.1,26,18.3,0.8,2.2,0.4,0,0
2016/7/17,8.5,21.9,27.1,19.3,0.7,2.7,0.8,0,0
2016/7/18,0,21.6,27.3,18.4,1.3,3.9,8.7,0,0
2016/7/19,0,21.5,27.6,16.8,1,3,10.9,0,0
2016/7/20,0,20.5,27.8,16.5,1.1,4,7.3,0,0
2016/7/21,0,20.7,27.8,17.4,1,4,4.9,0,0
2016/7/22,0,22,28.2,19.1,1.3,3.1,6.6,0,0
2016/7/23,0,22.4,28,18.3,1.4,2.9,6.5,0,0
2016/7/24,0,22.3,29.2,16.4,1.1,2.5,7.6,0,0
2016/7/25,3.5,21.4,25.5,17.9,0.7,2.1,2.4,0,0
2016/7/26,31,19,20.3,18,0.7,2.5,0,0,0
2016/7/27,11,22.4,29.2,17.9,0.9,2.2,3,0,0
2016/7/28,0,24,30.5,20.9,1,1.9,3.1,0,0
2016/7/29,3,24.1,30.7,21,1,3.1,6.3,0,0
2016/7/30,0,23.8,30.3,20.4,1.1,2.5,4.6,0,0
2016/7/31,0,23.4,29.6,18.9,0.8,2.6,4.3,0,0
2016/8/1,0,23.6,30.8,19.5,1.1,3.6,8.1,0,0
2016/8/2,14,21.9,27.8,19.1,0.8,2.9,2.3,0,0
2016/8/3,0,22.6,28.3,18.5,0.8,2.7,6.3,0,0
2016/8/4,0,23.8,31.7,20.1,0.9,3.2,9.5,0,0
2016/8/5,0,24.6,31.4,19.5,1,3.2,10.2,0,0
2016/8/6,0,25.7,32.8,19.9,0.9,2.7,10.1,0,0
2016/8/7,0,25.7,32.6,20.2,1.2,3.6,10.4,0,0
2016/8/8,0,24.1,31,17.9,1.3,3.2,11,0,0
2016/8/9,0,23.6,28.7,19.7,1.5,2.9,7.2,0,0
2016/8/10,0,21.6,27.8,18,1.3,3.4,7.9,0,0
2016/8/11,0,21.7,28.7,16.9,0.9,2.6,10,0,0
2016/8/12,0,22.7,30.4,16.5,1,3,6.4,0,0
2016/8/13,0,24,31,18.8,0.9,2.5,7.9,0,0
2016/8/14,0,24.3,30.7,19.9,1,2.9,7.6,0,0
2016/8/15,4.5,22.2,24.8,20.6,0.7,1.8,0.4,0,0
2016/8/16,0,23.5,31.2,18.7,1.1,2.9,3.4,0,0
2016/8/17,0,22.2,25.8,18.6,1,2.7,1.5,0,0
2016/8/18,2,22.9,29.4,20.5,0.8,3.5,3.7,0,0
2016/8/19,0,24.4,30,21.1,1.2,3.1,3.5,0,0
2016/8/20,0,24.2,30.7,18.9,1.5,3.8,4.6,0,0
2016/8/21,0,24.7,32.4,19.4,0.9,2.6,5.5,0,0
2016/8/22,2.5,23.8,29.9,20.7,1,3.4,3.5,0,0
2016/8/23,4.5,22.2,27.3,19.5,1,2.9,3.7,0,0
